ABW,SI.POV.NAHC,Aruba,,,,,,,,,,,,,,,,,
AFE,SI.POV.NAHC,Africa Eastern and Southern,,,,,,,,,,,,,,,,,
DOM,SI.POV.NAHC,Dominican Republic,,,,,,,,,,,,,,,,25.6,22.8
DZA,SI.POV.NAHC,Algeria,,,,,,,,,,5.5,,,,,,,
EAP,SI.POV.NAHC,East Asia & Pacific (excluding high income),,,,,,,,,,,,,,,,,
EAR,SI.POV.NAHC,Early-demographic dividend,,,,,,,,,,,,,,,,,
EAS,SI.POV.NAHC,East Asia & Pacific,,,,,,,,,,,,,,,,,
ECA,SI.POV.NAHC,Europe & Central Asia (excluding high income),,,,,,,,,,,,,,,,,
ECS,SI.POV.NAHC,Europe & Central Asia,,,,,,,,,,,,,,,,,
ECU,SI.POV.NAHC,Ecuador,,,,,,36.7,35.1,36,32.8,28.6,27.3,25.6,22.5,23.3,22.9,21.5,23.2
EGY,SI.POV.NAHC,"Egypt, Arab Rep.",,,,,,,,,,,,,,27.8,,32.5,
EMU,SI.POV.NAHC,Euro area,,,,,,,,,,,,,,,,,
ERI,SI.POV.NAHC,Eritrea,,,,,,,,,,,,,,,,,
ESP,SI.POV.NAHC,Spain,,20.1,20.1,20.3,19.7,19.8,20.4,20.7,20.6,20.8,20.4,22.2,22.1,22.3,21.6,21.5,20.7
EST,SI.POV.NAHC,Estonia,,20.2,18.3,18.3,19.4,19.5,19.7,15.8,17.5,17.5,18.6,,21.6,21.7,21,21.9,21.7
ETH,SI.POV.NAHC,Ethiopia,,,38.7,,,,,,29.6,,,,,23.5,,,
EUU,SI.POV.NAHC,European Union,,,,,,,,,,,,,,,,,
FCS,SI.POV.NAHC,Fragile and conflict affected situations,,,,,,,,,,,,,,,,,
FIN,SI.POV.NAHC,Finland,,11,11.7,12.6,13,13.6,13.8,13.1,13.7,13.2,11.8,12.8,12.4,11.6,11.5,12,11.6
FJI,SI.POV.NAHC,Fiji,39.8,,,,,,35.2,,,,,34,,,,,
FRA,SI.POV.NAHC,France,,13.5,13,13.2,13.1,12.5,12.9,13.3,14,14.1,13.7,13.3,13.6,13.6,13.2,13.4,13.6
FRO,SI.POV.NAHC,Faroe Islands,,,,,,,,,,,,,,,,,
FSM,SI.POV.NAHC,"Micronesia, Fed. Sts.",,,,29.9,,,,,,,,41.2,,,,,
GAB,SI.POV.NAHC,Gabon,,,,32.7,,,,,,,,,,,,33.4,
GBR,SI.POV.NAHC,United Kingdom,,,,,,,,,,,,,,,17,18.6,
GEO,SI.POV.NAHC,Georgia,,,34.3,35.4,36.9,38.8,34.9,34.9,37.3,34.1,30,26.2,23.5,21.6,22,21.9,20.1
GHA,SI.POV.NAHC,Ghana,,,,31.9,,,,,,,24.2,,,,23.4,,
GIB,SI.POV.NAHC,Gibraltar,,,,,,,,,,,,,,,,,
GIN,SI.POV.NAHC,Guinea,,,,,,,,,,,,,,,,,43.7
GMB,SI.POV.NAHC,"Gambia, The",,,,,,,,,48.1,,,,,48.6,,,
GNB,SI.POV.NAHC,Guinea-Bissau,64.7,,,,,,,,69.3,,,,,,,,
GNQ,SI.POV.NAHC,Equatorial Guinea,,,,,76.8,,,,,,,,,,,,
GRC,SI.POV.NAHC,Greece,20.7,19.9,19.6,20.5,20.3,20.1,19.7,20.1,21.4,23.1,23.1,22.1,21.4,21.2,20.2,18.5,17.9
GRD,SI.POV.NAHC,Grenada,,,,,,,,,,,,,,,,,
GRL,SI.POV.NAHC,Greenland,,,,,,,,,,,,,,,,,
GTM,SI.POV.NAHC,Guatemala,,,,,51,,,,,,,,59.3,,,,
GUM,SI.POV.NAHC,Guam,,,,,,,,,,,,,,,,,
GUY,SI.POV.NAHC,Guyana,,,,,,,,,,,,,,,,,
HIC,SI.POV.NAHC,High income,,,,,,,,,,,,,,,,,
HKG,SI.POV.NAHC,"Hong Kong SAR, China",,,,,,,,,,,,,,,,,
HND,SI.POV.NAHC,Honduras,,,,,,,,,,,,,50.2,52.2,49.7,49.8,48.3
HPC,SI.POV.NAHC,Heavily indebted poor countries (HIPC),,,,,,,,,,,,,,,,,
HRV,SI.POV.NAHC,Croatia,,,,,,,,20.6,20.9,20.4,19.5,19.4,20,19.5,20,19.3,18.3
HTI,SI.POV.NAHC,Haiti,,,,,,,,,,,58.5,,,,,,
HUN,SI.POV.NAHC,Hungary,,,,,,,,,,,,,,14.5,13.4,12.8,12.3
IBD,SI.POV.NAHC,IBRD only,,,,,,,,,,,,,,,,,
IBT,SI.POV.NAHC,IDA & IBRD total,,,,,,,,,,,,,,,,,
IDA,SI.POV.NAHC,IDA total,,,,,,,,,,,,,,,,,
IDB,SI.POV.NAHC,IDA blend,,,,,,,,,,,,,,,,,
IDN,SI.POV.NAHC,Indonesia,18.2,17.4,16.7,16,17.8,16.6,15.4,14.1,13.3,12.5,12,11.4,11.3,11.2,10.9,10.6,9.8
IDX,SI.POV.NAHC,IDA only,,,,,,,,,,,,,,,,,
IMN,SI.POV.NAHC,Isle of Man,,,,,,,,,,,,,,,,,
IND,SI.POV.NAHC,India,,,37.2,,,,,29.8,,21.9,,,,,,,
INX,SI.POV.NAHC,Not classified,,,,,,,,,,,,,,,,,
IRL,SI.POV.NAHC,Ireland,20.5,20.9,19.7,18.5,17.2,15.5,15,15.2,15.2,16.3,15.7,16.8,16.2,16.8,15.6,14.9,13.1
IRN,SI.POV.NAHC,"Iran, Islamic Rep.",,,,,,,,,,,,,,,,,
IRQ,SI.POV.NAHC,Iraq,,,,,22.4,,,,,,18.9,,,,,,
ISL,SI.POV.NAHC,Iceland,,10,9.7,9.6,10.1,10.1,10.2,9.8,9.2,7.9,9.3,7.9,9.2,8.8,10.1,8.8,
ISR,SI.POV.NAHC,Israel,,,,,,,,,,,,,,,,,
ITA,SI.POV.NAHC,Italy,,18.9,19.2,19.3,19.5,18.9,18.4,18.7,19.8,19.5,19.3,19.4,19.9,20.6,20.3,20.3,20.1
JAM,SI.POV.NAHC,Jamaica,19.7,19.1,16.9,14.8,14.3,9.9,12.3,16.5,17.6,,19.9,,,,,,
JOR,SI.POV.NAHC,Jordan,,,,,,,,,,,,,,,,,15.7
JPN,SI.POV.NAHC,Japan,,,,,,,,,,,,,,,,,
KAZ,SI.POV.NAHC,Kazakhstan,,,,,,,,,,,,,,,,,4.3
KEN,SI.POV.NAHC,Kenya,,,,46.8,,,,,,,,,,36.1,,,
KGZ,SI.POV.NAHC,Kyrgyz Republic,,,,,39.9,35,31.7,31.7,33.7,36.8,38,37,30.6,32.1,25.4,25.6,22.4
KHM,SI.POV.NAHC,Cambodia,,50.2,,,45,,34,23.9,22.1,20.5,17.7,,,,,,
KIR,SI.POV.NAHC,Kiribati,,,,,21.8,,,,,,,,,,,,
KNA,SI.POV.NAHC,St. Kitts and Nevis,,,,,,,,,,,,,,,,,
KOR,SI.POV.NAHC,"Korea, Rep.",,,,,,,,,,,,,,,,,
KWT,SI.POV.NAHC,Kuwait,,,,,,,,,,,,,,,,,
LAC,SI.POV.NAHC,Latin America & Caribbean (excluding high income),,,,,,,,,,,,,,,,,
LAO,SI.POV.NAHC,Lao PDR,,,,,,,,,,,,,,,,,18.3
LBN,SI.POV.NAHC,Lebanon,,,,,,,,,,27.4,,,,,,,
LBR,SI.POV.NAHC,Liberia,,,,,,63.8,,,,,,,54.1,,50.9,,
LBY,SI.POV.NAHC,Libya,,,,,,,,,,,,,,,,,
LCA,SI.POV.NAHC,St. Lucia,,,,,,,,,,,,,,,25,,
LCN,SI.POV.NAHC,Latin America & Caribbean,,,,,,,,,,,,,,,,,
LDC,SI.POV.NAHC,Least developed countries: UN classification,,,,,,,,,,,,,,,,,
LIC,SI.POV.NAHC,Low income,,,,,,,,,,,,,,,,,
LIE,SI.POV.NAHC,Liechtenstein,,,,,,,,,,,,,,,,,
LKA,SI.POV.NAHC,Sri Lanka,22.7,,,,15.2,,,8.9,,,6.7,,,,4.1,,
LMC,SI.POV.NAHC,Lower middle income,,,,,,,,,,,,,,,,,
LMY,SI.POV.NAHC,Low & middle income,,,,,,,,,,,,,,,,,
LSO,SI.POV.NAHC,Lesotho,56.6,,,,,,,,,,,,,,,49.7,
LTE,SI.POV.NAHC,Late-demographic dividend,,,,,,,,,,,,,,,,,
LTU,SI.POV.NAHC,Lithuania,,,,,,,,,,,,,,21.9,22.9,22.9,20.6
LUX,SI.POV.NAHC,Luxembourg,,,,,,,,,,,,,,15.8,16.4,16.7,17.5
LVA,SI.POV.NAHC,Latvia,,,,,,,,,,,,,,21.8,22.1,23.3,22.9
MAC,SI.POV.NAHC,"Macao SAR, China",,,,,,,,,,,,,,,,,
MAF,SI.POV.NAHC,St. Martin (French part),,,,,,,,,,,,,,,,,
MAR,SI.POV.NAHC,Morocco,,,,,8.9,,,,,,,4.8,,,,,
MCO,SI.POV.NAHC,Monaco,,,,,,,,,,,,,,,,,
MDA,SI.POV.NAHC,Moldova,,,,,,,,,,,,,11.4,9.6,9.5,10.1,7.3
MDG,SI.POV.NAHC,Madagascar,,,,73.2,,,,,71.7,,70.7,,,,,,
MDV,SI.POV.NAHC,Maldives,,,,,,,,,,,,,,,8.2,,
MEA,SI.POV.NAHC,Middle East & North Africa,,,,,,,,,,,,,,,,,
MEX,SI.POV.NAHC,Mexico,,,,,,,44.4,,,,45.5,,46.2,,43.6,,41.9
MHL,SI.POV.NAHC,Marshall Islands,,,,,,,,,,,,,,,,,
MIC,SI.POV.NAHC,Middle income,,,,,,,,,,,,,,,,,
MKD,SI.POV.NAHC,North Macedonia,,,,,,,,27,26.8,26.2,24.2,22.1,21.5,21.9,22.2,21.9,21.6
MLI,SI.POV.NAHC,Mali,,,,,41.7,,,41.1,,45.4,,47.1,46.9,47.2,46.8,44.9,43.8
MLT,SI.POV.NAHC,Malta,,,14.3,14.2,15.1,15.3,14.9,15.5,15.6,15.1,15.8,15.8,16.6,16.5,16.7,16.8,17.1
MMR,SI.POV.NAHC,Myanmar,,,,48.2,,,,,42.2,,,,,32.1,,24.8,
MNA,SI.POV.NAHC,Middle East & North Africa (excluding high income),,,,,,,,,,,,,,,,,
MNE,SI.POV.NAHC,Montenegro,,,,,,,,,,,25.2,24.1,24.4,24,23.6,23.8,24.5
MNG,SI.POV.NAHC,Mongolia,,,,,,,,,38.8,33.7,27.4,,21.6,,29.6,,28.4
MNP,SI.POV.NAHC,Northern Mariana Islands,,,,,,,,,,,,,,,,,
MOZ,SI.POV.NAHC,Mozambique,54.1,,,,,,54.7,,,,,,46.1,,,,
MRT,SI.POV.NAHC,Mauritania,,,46.7,,,,42,,,,,,31,,,,
MUS,SI.POV.NAHC,Mauritius,,,,,,,,,,,7.9,,,,,10.3,
MWI,SI.POV.NAHC,Malawi,,,52.4,,,,,,50.7,,,,,,51.5,,
MYS,SI.POV.NAHC,Malaysia,,,,,,,,,,,,,,7.6,,,5.6
NAC,SI.POV.NAHC,North America,,,,,,,,,,,,,,,,,
NAM,SI.POV.NAHC,Namibia,,37.7,,,,,,28.7,,,,,,17.4,,,
NCL,SI.POV.NAHC,New Caledonia,,,,,,,,,,,,,,,,,
NER,SI.POV.NAHC,Niger,,,,,,,,,,,,,,,,,40.8
NGA,SI.POV.NAHC,Nigeria,,,,,,,,,,,,,,,,,40.1
NIC,SI.POV.NAHC,Nicaragua,,,,48.3,,,,42.5,,,,,29.6,,24.9,,
NLD,SI.POV.NAHC,Netherlands,,,,,,,,,,,,,,12.7,13.2,13.3,13.2
