iso_a2,iso_a3,cases
AE,,504
AF,,83
AL,,22
AR,,18
AT,,24
BA,,127
BD,,26
BG,,356
BH,,22
BY,,400
CN,,79
CY,,11
CZ,,38
DK,,17
EC,,13
EG,,13
GH,,544
HK,,31
HT,,339
ID,,1777
IN,,46
IT,,24
JO,,108
JP,,111
KH,,1000
KW,,209
KZ,,222
LB,,73
LY,,11
MD,,4504
MG,,94
MK,,194
MU,,20
MY,,930
OM,,94
PH,,1988
PL,,326
QA,,239
RO,,259
RS,,248
RU,,2738
SA,,278
SG,,37
SL,,81
SN,,370
SY,,41
TH,,391
TJ,,54
TM,,26
TR,,197
TT,,85
TW,,33
UA,,5399
UG,,151
US,,12512
UZ,,193
VN,,16
ZA,,36
